Protocol section,Variable_abbr,Variable full name,,,,,,,,,,,,,,,,,,,,,,,
2.10,Com_number,Communication number,,,,,,,,,,,,,,,,,,,,,,,
2.20,C_Clip_name,Clip name,,,,,,,,,,,,,,,,,,,,,,,
2.30,C_Signaller,Signaller,,,,,,,,,,,,,,,,,,,,,,,
2.40,C_Recipient,Recipient,,,,,,,,,,,,,,,,,,,,,,,
2.50,C_Sgn_prior_context,Signaller prior context,,,,,,,,,,,,,,,,,,,,,,,
2.60,C_Rcp_prior_context,Recipient prior context,,,,,,,,,,,,,,,,,,,,,,,
2.70,C_Directed_to,Directed to,,,,,,,,,,,,,,,,,,,,,,,
2.80,C_Goal,Goal,,,,,,,,,,,,,,,,,,,,,,,
2.90,C_Sgn_post_context,Signaller post context,,,,,,,,,,,,,,,,,,,,,,,
2.10,C_Rcp_post_context,Recipient post context,,,,,,,,,,,,,,,,,,,,,,,
2.11,C_Comment,Communication comment,,,,,,,,,,,,,,,,,,,,,,,
2.12,Exchange_part,Exchange part,,,,,,,,,,,,,,,,,,,,,,,
2.13,G_rcp,Gesture recipient,,,,,,,,,,,,,,,,,,,,,,,
2.14,Voc_rcp,Vocalisation recipient,,,,,,,,,,,,,,,,,,,,,,,
2.15,FE_rcp,Facial expression recipient,,,,,,,,,,,,,,,,,,,,,,,
2.16,BhvCh_start,Start of behavioural change Signaller/Recipient,,,,,,,,,,,,,,,,,,,,,,,
2.17,Latency_1,Latency 1,,,,,,,,,,,,,,,,,,,,,,,
2.18,Latency_2,Latency 2,,,,,,,,,,,,,,,,,,,,,,,
2.19,Vocalisation_record,Vocalisation record,,,,,,,,,,,,,,,,,,,,,,,
2.20,Facial_expression_record,Facial expression record,,,,,,,,,,,,,,,,,,,,,,,
2.21,Gesture_record1,Gesture action signaller,,,,,,,,,,,,,,,,,,,,,,,
2.22,G1_Rec_number,Record number,,,,,,,,,,,,,,,,,,,,,,,
2.23,G1_Sequence_part,Part of sequence,,,,,,,,,,,,,,,,,,,,,,,
2.24,G1_Rep_count,Repetition count,,,,,,,,,,,,,,,,,,,,,,,
2.25,G1_MAU_duration,Minimum action unit and gesture action duration,,,,,,,,,,,,,,,,,,,,,,,
2.26,G1_Body_sgn,Body part signaller,,,,,,,,,,,,,,,,,,,,,,,
2.27,G1_Sgn_lat,Signaller laterality,,,,,,,,,,,,,,,,,,,,,,,
2.28,G1_Lat_bim,Laterality bimanual gestures,,,,,,,,,,,,,,,,,,,,,,,
2.29,G1_Body_con,Body part contact,,,,,,,,,,,,,,,,,,,,,,,
2.30,G1_Con_lat,Contact laterality,,,,,,,,,,,,,,,,,,,,,,,
2.31,G1_Object_contact,Object contact ,,,,,,,,,,,,,,,,,,,,,,,
2.32,G1_with_Object,Object used ,,,,,,,,,,,,,,,,,,,,,,,
2.33,G1_Audible,Audible information,,,,,,,,,,,,,,,,,,,,,,,
2.34,G1_Direct_G,Directionality of gesture,,,,,,,,,,,,,,,,,,,,,,,
2.35,G1_Emphasis,Emphasis,,,,,,,,,,,,,,,,,,,,,,,
2.36,G1_Flexion,Flexion,,,,,,,,,,,,,,,,,,,,,,,
2.37,G1_Orientation,Orientation,,,,,,,,,,,,,,,,,,,,,,,
2.38,G1_Sgn_Voc,Signaller vocalisation ,,,,,,,,,,,,,,,,,,,,,,,
2.39,G1_Sgn_FE,Signaller facial expression,,,,,,,,,,,,,,,,,,,,,,,
2.40,G1_Distance_rcp,Distance to recipient ,,,,,,,,,,,,,,,,,,,,,,,
2.41,G1_Rcp_VA,Recipient visual attention,,,,,,,,,,,,,,,,,,,,,,,
2.42,G1_Effectiveness,Effectiveness of gesture,,,,,,,,,,,,,,,,,,,,,,,
2.43,G1_Dur_ana,Gesture duration include in analysis,,,,,,,,,,,,,,,,,,,,,,,
2.44,G1_Cod_status,Gesture coding status,,,,,,,,,,,,,,,,,,,,,,,
2.45,G1_Comment_rec,Comments on gesture action,,,,,,,,,,,,,,,,,,,,,,,
2.46,Bout_part1,Part of bout ,,,,,,,,,,,,,,,,,,,,,,,
2.47,BP1_Sgn_location,Signaller location,,,,,,,,,,,,,,,,,,,,,,,
2.48,BP1_Sgn_arousal,Signaller arousal,,,,,,,,,,,,,,,,,,,,,,,
2.49,BP1_Gaze_before,Signaller gaze before sequence,,,,,,,,,,,,,,,,,,,,,,,
2.50,BP1_Gaze_during,Signaller gaze during sequence,,,,,,,,,,,,,,,,,,,,,,,
2.51,BP1_Rcp_location,Recipient location,,,,,,,,,,,,,,,,,,,,,,,
2.52,BP1_Rcp_arousal,Recipient arousal,,,,,,,,,,,,,,,,,,,,,,,
2.53,BP1_Vis_during,Visibility during,,,,,,,,,,,,,,,,,,,,,,,
2.54,BP1_Rcp_Voc,Recipient vocalisation ,,,,,,,,,,,,,,,,,,,,,,,
2.55,BP1_Rcp_FE,Recipient facial expression,,,,,,,,,,,,,,,,,,,,,,,
2.56,BP1_Rcp_G,Recipient gesture,,,,,,,,,,,,,,,,,,,,,,,
2.57,BP1_Rcp_reaction,Recipient reaction,,,,,,,,,,,,,,,,,,,,,,,
2.58,BP1_Response_waiting,Response waiting,,,,,,,,,,,,,,,,,,,,,,,
2.59,BP1_Persistence,Presistence,,,,,,,,,,,,,,,,,,,,,,,
2.60,BP1_Goal_met,Goal met,,,,,,,,,,,,,,,,,,,,,,,
,Gesture_record2,Gesture action signaller,,,,,,,,,,,,,,,,,,,,,,,
,G2_Rec_number,Record number,,,,,,,,,,,,,,,,,,,,,,,
,G2_Sequence_part,Part of sequence,,,,,,,,,,,,,,,,,,,,,,,
,G2_Rep_count,Repetition count,,,,,,,,,,,,,,,,,,,,,,,
,G2_MAU_duration,Minimum action unit and gesture action duration,,,,,,,,,,,,,,,,,,,,,,,
,G2_Body_sgn,Body part signaller,,,,,,,,,,,,,,,,,,,,,,,
,G2_Sgn_lat,Signaller laterality,,,,,,,,,,,,,,,,,,,,,,,
,G2_Lat_bim,Laterality bimanual gestures,,,,,,,,,,,,,,,,,,,,,,,
,G2_Body_con,Body part contact,,,,,,,,,,,,,,,,,,,,,,,
,G2_Con_lat,Contact laterality,,,,,,,,,,,,,,,,,,,,,,,
,G2_Object_contacted,Object contact ,,,,,,,,,,,,,,,,,,,,,,,
,G2_with_Object,Object used ,,,,,,,,,,,,,,,,,,,,,,,
,G2_Audible,Audible information,,,,,,,,,,,,,,,,,,,,,,,
,G2_Direct_G,Directionality of gesture,,,,,,,,,,,,,,,,,,,,,,,
,G2_Emphasis,Emphasis,,,,,,,,,,,,,,,,,,,,,,,
,G2_Flexion,Flexion,,,,,,,,,,,,,,,,,,,,,,,
,G2_Orientation,Orientation,,,,,,,,,,,,,,,,,,,,,,,
,G2_Sgn_Voc,Signaller vocalisation ,,,,,,,,,,,,,,,,,,,,,,,
,G2_Sgn_FE,Signaller facial expression,,,,,,,,,,,,,,,,,,,,,,,
,G2_Distance_rcp,Distance to recipient ,,,,,,,,,,,,,,,,,,,,,,,
,G2_Rcp_VA,Recipient visual attention,,,,,,,,,,,,,,,,,,,,,,,
,G2_Effectiveness,Effectiveness of gesture,,,,,,,,,,,,,,,,,,,,,,,
,G2_Dur_ana,Gesture duration include in analysis,,,,,,,,,,,,,,,,,,,,,,,
,G2_Cod_status,Gesture coding status,,,,,,,,,,,,,,,,,,,,,,,
,G2_Comment_rec,Comments on gesture action,,,,,,,,,,,,,,,,,,,,,,,
,Bout_part2,Part of bout ,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Sgn_location,Signaller location,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Sgn_arousal,Signaller arousal,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Gaze_before,Signaller gaze before sequence,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Gaze_during,Signaller gaze during sequence,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Rcp_location,Recipient location,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Rcp_arousal,Recipient arousal,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Vis_during,Visibility during,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Rcp_Voc,Recipient vocalisation ,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Rcp_FE,Recipient facial expression,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Rcp_G,Recipient gesture,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Rcp_reaction,Recipient reaction,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Response_waiting,Response waiting,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Persistence,Presistence,,,,,,,,,,,,,,,,,,,,,,,
,BP2_Goal_met,Goal met,,,,,,,,,,,,,,,,,,,,,,,